25-11-21_16:13:10,                         40.828562298455
25-11-21_16:33:10,                         40.828562298455
25-11-21_17:13:10,                         40.828562298455
25-11-21_17:33:11,                         70.922939819433
25-11-21_18:13:11,                         70.922939819433
25-11-21_19:13:11,                         70.922939819433
25-11-21_20:21:11,                         68.922939819433
25-11-21_20:25:11,                         65.922939819433
25-11-21_20:33:11,                         70.922939819433
25-11-21_21:13:12,                         90.0374419741
25-11-21_22:13:12,                         90.0374419741
25-11-21_23:53:12,                         90.0374419741
25-11-21_23:57:12,                         20.0374419741
25-11-21_23:59:12,                         20.0374419741


